eventnumber,index,sequencenumber,yokedsequencenumber,istarget,presentationnumber,stimnumber,stim,response,correct,rt,stimname,time_stimon,time_stimoff,stimdur
75,1132,0,5,0,75,38,stimuli_orig\Object2.jpg,0,0,0,Object2.jpg,76.01694922709612,76.11696605931866,0.10001683222253632
76,1133,0,5,0,76,48,stimuli_orig\Table2.jpg,0,0,0,Table2.jpg,76.21694476978246,76.31695866956215,0.10001389977969666
77,1134,0,5,0,77,18,stimuli_orig\Deer3_face.jpg,0,0,0,Deer3_face.jpg,76.41692007861275,76.51693133919389,0.10001126058114096
78,1135,0,5,0,78,15,stimuli_orig\Deer2_body.jpg,0,0,0,Deer2_body.jpg,76.61693321595749,76.7169541536,0.10002093764251185
79,1136,0,5,0,79,32,stimuli_orig\Kangaroo3_face.jpg,0,0,0,Kangaroo3_face.jpg,76.81692758566669,76.91691890563561,0.09999131996892174
80,1137,0,5,0,80,45,stimuli_orig\Sheep2_body.jpg,0,0,0,Sheep2_body.jpg,77.01691902293351,77.11691679427668,0.099997771343169
81,1138,0,5,0,81,17,stimuli_orig\Deer3_body.jpg,0,0,0,Deer3_body.jpg,77.21694007787391,77.31692435997957,0.0999842821056518
82,1139,0,5,0,82,26,stimuli_orig\Goat4_body.jpg,0,0,0,Goat4_body.jpg,77.41697667476228,77.51694072301143,0.09996404824914862
83,1140,0,5,0,83,6,stimuli_orig\Cactus1.jpg,0,0,0,Cactus1.jpg,77.61694084030887,77.71694359680532,0.10000275649645118
84,1141,0,5,0,84,21,stimuli_orig\Flower6.jpg,0,0,0,Flower6.jpg,77.81695691009645,77.91695908010433,0.10000217000788325
85,1142,0,5,0,85,3,stimuli_orig\Beaver1_body.jpg,0,0,0,Beaver1_body.jpg,78.01695479873752,78.11694729168357,0.09999249294605761
86,1143,0,5,0,86,1,stimuli_orig\Anchor2.jpg,0,0,0,Anchor2.jpg,78.21694799547004,78.31695104521077,0.10000304974073515
87,1144,0,5,0,87,8,stimuli_orig\Carrat1.jpg,0,0,0,Carrat1.jpg,78.4169476435768,78.51693632434672,0.0999886807699113
88,1145,0,5,0,88,19,stimuli_orig\Flower3.jpg,0,0,0,Flower3.jpg,78.61694465248502,78.71686471408975,0.09992006160473466
89,1146,0,5,0,89,14,stimuli_orig\Deer1_face.jpg,0,0,0,Deer1_face.jpg,78.81694342085893,78.91693356785026,0.09999014699133113
90,1147,0,5,0,90,50,stimuli_orig\Wolf1_body.jpg,0,0,0,Wolf1_body.jpg,79.01693427163673,79.11692177942996,0.09998750779323018
91,1148,0,5,0,91,33,stimuli_orig\Leaf1.jpg,0,0,0,Leaf1.jpg,79.21692131023883,79.31691790860486,0.09999659836603314
92,1149,0,5,0,92,37,stimuli_orig\Motorcycle3.jpg,0,0,0,Motorcycle3.jpg,79.4169153867042,79.51691051884882,0.09999513214461331
93,1150,0,5,0,93,40,stimuli_orig\Rabbit1_body.jpg,0,0,0,Rabbit1_body.jpg,79.61691180912385,79.71690958046702,0.099997771343169
94,1151,0,5,0,94,31,stimuli_orig\Kangaroo1_face.jpg,0,0,0,Kangaroo1_face.jpg,79.81690793829875,79.91690365693239,0.09999571863363599
95,1152,0,5,0,95,20,stimuli_orig\Flower5.jpg,0,0,0,Flower5.jpg,80.01690465396268,80.11690916992484,0.10000451596215498
96,1153,0,5,0,96,42,stimuli_orig\Raccoon3_face.jpg,0,0,0,Raccoon3_face.jpg,80.21691104668844,80.31690617883305,0.09999513214461331
97,1154,0,5,0,97,22,stimuli_orig\Flower7.jpg,0,0,0,Flower7.jpg,80.416893393382,80.51689087148088,0.09999747809888504
98,1155,0,5,0,98,43,stimuli_orig\Screw1.jpg,0,0,0,Screw1.jpg,80.61689274824448,80.71688553443482,0.09999278619034158
99,1156,0,5,0,99,34,stimuli_orig\Lynx1_body.jpg,0,0,0,Lynx1_body.jpg,80.81685046241682,80.91687931765546,0.1000288552386337
100,1157,0,5,0,100,52,stimuli_orig\Wrench1.jpg,0,0,0,Wrench1.jpg,81.01688002144192,81.11687720629652,0.09999718485460107
101,1158,0,5,0,101,16,stimuli_orig\Deer2_face.jpg,0,0,0,Deer2_face.jpg,81.21687527088443,81.31686952329619,0.09999425241176141
102,1159,0,5,0,102,11,stimuli_orig\Corn1.jpg,0,0,0,Corn1.jpg,81.41687052032694,81.5168665322044,0.09999601187746521
103,1160,0,5,0,103,13,stimuli_orig\Cucumber1.jpg,0,0,0,Cucumber1.jpg,81.61686723599041,81.71686178164646,0.09999454565604537
104,1161,0,5,0,104,27,stimuli_orig\Goat4_face.jpg,0,0,0,Goat4_face.jpg,81.81686688409764,81.91685732433325,0.0999904402356151
